unserved_demand,total_access_time,inequity,total_cost,total_cost_cny
5.290148868669348,294917.68358763703,6.3923872495752825,19727593133.546448,19727593134.0
5.290148868669348,294461.73108489503,6.384968912537577,20012524841.913223,20012524842.0
5.290148868669348,297156.49246357806,6.449504853528272,19203994944.43528,19203994944.0
5.290148868669348,294930.3038859833,6.3923872495752825,19670593133.546448,19670593134.0
5.290148868669348,294461.73108489503,6.384968912537577,20012524841.913223,20012524842.0
5.290148868669348,297007.3127587314,6.449504853528272,19260994944.43528,19260994944.0
6.360815759668185,286998.26296316297,5.905288493770648,17489877128.010033,17489877128.0
6.360815759668185,288760.6737833061,5.933024411936708,17083119753.763798,17083119754.0
6.360815759668185,293239.09948688315,6.0855746433509275,16397341232.489626,16397341232.0
6.360815759668185,287777.2508809087,5.917589569059377,17280537219.390152,17280537219.0
6.360815759668185,292799.3877095556,6.05280242831787,16620118525.821358,16620118526.0
6.360815759668185,289963.24328961264,5.996120678722849,16644250758.658058,16644250759.0
6.360815759668185,289818.96986412257,5.996120678722849,16758250758.65806,16758250759.0
16.51849612416845,317874.33589873364,6.701702582073305,10016360843.763803,10016360844.0
16.51849612416845,321934.23451822595,6.849607917694775,9902360843.763803,9902360844.0
16.66902029222547,296365.0524538198,6.1391178289713935,15429253579.933966,15429253580.0
16.66902029222547,298592.8995778528,6.174248813555806,14425045938.722765,14425045939.0
16.66902029222547,296138.7874759004,6.156853814200566,15076700853.083252,15076700853.0
16.66902029222547,295443.1589663645,6.1345476731523965,15741391382.142927,15741391382.0
16.66902029222547,297979.31684487185,6.165380671389671,14713257179.531836,14713257180.0
16.66902029222547,293201.9670001557,6.097777268404052,15914922079.68213,15914922080.0
16.66902029222547,296220.36138772406,6.16050297702397,14995927114.583853,14995927115.0
16.66902029222547,296051.6920371082,6.136290331963722,15595668337.25335,15595668337.0
16.66902029222547,297716.8261665167,6.158474538385679,14717382428.303,14717382428.0
17.290767074875475,305869.047184487,6.260043693593111,11788613250.509975,11788613251.0
17.290767074875475,300564.67093061877,6.211049184009623,12425999594.955498,12425999595.0
17.290767074875475,299274.1805864839,6.211049184009623,12995999594.955498,12995999595.0
17.290767074875475,299280.25354569685,6.211049184009623,12938999594.9555,12938999595.0
17.290767074875475,302594.1012506706,6.206287478536149,12270205309.780106,12270205310.0
17.290767074875475,305176.79327884445,6.247093758568242,11980762353.650082,11980762354.0
17.290767074875475,304628.18987098546,6.229655413115302,12122025210.356031,12122025210.0
17.290767074875475,303727.66164949606,6.228384184233524,12157788290.032207,12157788290.0
18.175744883737934,332339.97078086255,7.025580960162959,9668912463.236357,9668912463.0
18.175744883737934,328984.5778473532,6.8630862750130595,9756910566.081886,9756910566.0
19.19542747722153,321184.44827441656,6.6923935959105725,7740981250.501064,7740981251.0
19.19542747722153,325245.0190477399,6.694881173832688,7711092333.808175,7711092334.0
19.19542747722153,327804.6617861623,6.7525285403151285,7683981250.501064,7683981251.0
19.19542747722153,338803.07730086206,7.228905652120415,7412545534.029213,7412545534.0
19.19542747722153,336361.9607155664,7.1302762260208885,7609667711.520007,7609667712.0
19.19542747722153,327804.6617861623,6.7525285403151285,7683981250.501064,7683981251.0
21.95916916088754,361600.6305950354,7.525579559661696,4424228487.617843,4424228488.0
21.95916916088754,358447.25147276657,7.438235656442907,4595228487.617843,4595228488.0
21.95916916088754,358224.22470548097,7.433686166517227,4766228487.617843,4766228488.0
21.95916916088754,361417.38580295665,7.525579559661696,4538228487.617843,4538228488.0
21.95916916088754,317416.49756624014,6.593250723776632,9382495280.13175,9382495280.0
21.95916916088754,321113.349367336,6.634915329904663,8942321677.361565,8942321677.0
21.95916916088754,316722.3462923643,6.579481418408576,9545630745.12008,9545630745.0
21.95916916088754,318175.4047907615,6.620180555787049,9202670766.909357,9202670767.0
21.95916916088754,321113.349367336,6.634915329904663,8942321677.361565,8942321677.0
22.160299642098835,315000.95063329,6.5480007751112055,10746019701.830349,10746019702.0
22.160299642098835,314165.75636306114,6.5402663202476505,11004707921.891632,11004707922.0
22.160299642098835,314512.9101737332,6.541561835839565,10974019701.830349,10974019702.0
27.248734690903802,340224.1852573161,7.0725212947818665,5358890012.384202,5358890012.0
28.065511394001078,348448.0897114993,7.332536241801722,4228106117.7418437,4228106118.0
28.065511394001078,354577.88612648717,7.381454268386615,3793684896.24999,3793684896.0
28.065511394001078,354577.88612648717,7.381454268386615,3793684896.24999,3793684896.0
28.065511394001078,350706.40126466635,7.365147929138312,4029072306.99885,4029072307.0
28.468508017227578,310238.60216388345,6.52900193761363,11156956303.969067,11156956304.0
28.468508017227578,308586.21257843374,6.465262294015631,11415924562.150679,11415924562.0
28.468508017227578,308586.21257843374,6.465262294015631,11415924562.150679,11415924562.0
35.960525309317745,334511.8495319285,6.821870896225612,5614610340.452105,5614610340.0
35.960525309317745,338254.4856936054,6.900111353911105,5417803884.249408,5417803884.0
35.960525309317745,340752.59867012233,6.963705274582736,5214656982.915874,5214656983.0
35.960525309317745,334845.5835779603,6.8241759603967935,5497230137.551216,5497230138.0
44.84663767510938,378102.85113748576,8.140679573016476,3556445932.662575,3556445933.0
44.84663767510938,384068.82620553736,8.254744767889887,3328445932.662575,3328445933.0
55.06242070340522,403851.6200721108,8.818112119115995,3072484921.377682,3072484921.0
66.01464871005737,346600.1140816883,7.171994767817552,5056211684.016092,5056211684.0
