cell_id,centroid_x,centroid_y,population_source,population,income,poi_count,poi_density,income_source,cluster,monthly_income_cny,vot_cny_per_h,p_evtol,trip_rate,demand
0,398227.3738420745,3392981.7927185036,zonal_sum,284.00157465040684,16.399347016537067,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,1.6031888889015466
1,398227.3738420745,3393481.7927185036,zonal_sum,1000.653959274292,20.20263957655474,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,5.648691600103378
2,398227.3738420745,3393981.7927185036,zonal_sum,1094.5026082992554,21.03694487455273,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,6.178467223849297
3,398227.3738420745,3394481.7927185036,zonal_sum,779.7229537963867,17.801717538296128,1,4.0,external,3,1877.0,5.39,0.05645,0.005645,4.401536074180603
4,398727.3738420745,3391981.7927185036,zonal_sum,714.5042433738708,11.440493553969873,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,4.033376453845501
5,398727.3738420745,3392481.7927185036,zonal_sum,446.9756159186363,15.162254078528882,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,2.523177351860702
6,398727.3738420745,3392981.7927185036,zonal_sum,1199.5315046310425,20.44697393783469,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,6.7713553436422345
7,398727.3738420745,3393481.7927185036,zonal_sum,1721.842206954956,24.380983393905808,1,4.0,external,0,2956.0,8.49,0.06033,0.006033,10.38787403455925
8,398727.3738420745,3393981.7927185036,zonal_sum,2019.1890258789062,25.42545290688514,0,0.0,external,0,2956.0,8.49,0.06033,0.006033,12.181767393127442
9,398727.3738420745,3394481.7927185036,zonal_sum,1768.4888820648193,21.072902853393053,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,9.983119739255905
10,398727.3738420745,3394981.7927185036,zonal_sum,1355.9545469284058,14.747530057486196,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,7.65436341741085
11,398727.3738420745,3395481.7927185036,zonal_sum,547.4461262226105,20.832966685337077,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,3.090333382526636
12,398727.3738420745,3395981.7927185036,zonal_sum,207.16023522615433,19.729065111573043,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,1.169419527851641
13,398727.3738420745,3396481.7927185036,zonal_sum,2306.7740852832794,14.277097466505989,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,13.021739711424113
14,398727.3738420745,3396981.7927185036,zonal_sum,2567.421957015991,13.84292034769235,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,14.49309694735527
15,398727.3738420745,3397481.7927185036,zonal_sum,937.1388607025146,12.742394754811054,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,5.290148868665695
16,399227.3738420745,3390981.7927185036,zonal_sum,521.997437953949,12.029207605939945,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,2.9466755372500417
17,399227.3738420745,3391481.7927185036,zonal_sum,1600.3763575553894,12.015875103064849,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,9.034124538400173
18,399227.3738420745,3391981.7927185036,zonal_sum,819.3383224010468,12.615801255207842,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,4.625164829953909
19,399227.3738420745,3392481.7927185036,zonal_sum,1035.2049523293972,17.079666148121127,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,5.843731955899447
20,399227.3738420745,3392981.7927185036,zonal_sum,717.298900604248,27.504098957943956,1,4.0,external,0,2956.0,8.49,0.06033,0.006033,4.327464267345428
21,399227.3738420745,3393481.7927185036,zonal_sum,1033.6362104415894,33.308958139146576,0,0.0,external,0,2956.0,8.49,0.06033,0.006033,6.235927257594109
22,399227.3738420745,3393981.7927185036,zonal_sum,2900.9631786346436,37.66928470959072,0,0.0,external,0,2956.0,8.49,0.06033,0.006033,17.501510856702804
23,399227.3738420745,3394481.7927185036,zonal_sum,1601.1118545532227,31.38791522775203,0,0.0,external,0,2956.0,8.49,0.06033,0.006033,9.659507818519593
24,399227.3738420745,3394981.7927185036,zonal_sum,2750.386239051819,22.747849714173245,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,15.525930319447516
25,399227.3738420745,3395481.7927185036,zonal_sum,2668.6668090820312,23.69161021839351,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,15.064624137268066
26,399227.3738420745,3395981.7927185036,zonal_sum,1263.0032580792904,17.28375039013865,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,7.129653391857594
27,399227.3738420745,3396481.7927185036,zonal_sum,135.49177554249763,13.323401179392599,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,0.7648510729373992
28,399227.3738420745,3396981.7927185036,zonal_sum,101.95801210403442,12.508614117208603,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,0.5755529783272743
29,399227.3738420745,3397481.7927185036,zonal_sum,385.46029138565063,14.137689909133334,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,2.1759233448719977
30,399227.3738420745,3397981.7927185036,zonal_sum,1153.1158292889595,17.745849202658764,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,6.509338856336176
31,399227.3738420745,3398481.7927185036,zonal_sum,835.9625153541565,21.747954285819247,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,4.719008399174213
32,399227.3738420745,3398981.7927185036,zonal_sum,774.0341553688049,17.68596222421504,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,4.369422807056904
33,399227.3738420745,3399481.7927185036,zonal_sum,865.0140750408173,14.475162735713578,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,4.883004453605413
34,399727.3738420745,3389481.7927185036,zonal_sum,1222.425761282444,25.466096799988204,0,0.0,external,0,2956.0,8.49,0.06033,0.006033,7.3748946178169845
35,399727.3738420745,3389981.7927185036,zonal_sum,2353.061347723007,22.12914434437728,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,13.283031307896374
36,399727.3738420745,3390481.7927185036,zonal_sum,1956.8659782409668,17.723894698857997,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,11.046508447170257
37,399727.3738420745,3390981.7927185036,zonal_sum,2100.463050842285,13.098195615639893,1,4.0,external,3,1877.0,5.39,0.05645,0.005645,11.8571139220047
38,399727.3738420745,3391481.7927185036,zonal_sum,2814.441963195801,12.001791314840396,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,15.887524882240294
39,399727.3738420745,3391981.7927185036,zonal_sum,1311.6268682479858,12.819974449863732,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,7.4041336712598795
40,399727.3738420745,3392481.7927185036,zonal_sum,802.4087252616882,17.851792698010236,0,0.0,external,3,1877.0,5.39,0.05645,0.005645,4.52959725410223
