name,status,n_sites,objective,total_cost_cny,solve_time_s,coverage_cells_covered,coverage_cells_total,coverage_cell_coverage_pct,coverage_demand_covered,coverage_demand_total,coverage_demand_coverage_pct,coverage_population_covered,coverage_population_total,coverage_population_coverage_pct,coverage_core_coverage_pct,coverage_n_core_cells,coverage_n_core_unreachable,coverage_core_coverage_enforced,coverage_proven_optimal,coverage_solver_gap,coverage_feasible
cost_priority,Optimal,11,314333127.38,314333127.0,0.55,2055,2519,81.58,48389.7738,50338.9149,96.128,7388609.9984,7712263.1572,95.8034,100.0,1008,0,True,True,,True
coverage_priority,Optimal,10,10.0,544668671.0,0.54,2134,2519,84.7162,48682.0555,50338.9149,96.7086,7439711.0956,7712263.1572,96.466,100.0,1008,0,True,True,,True
