approach,n_solutions,hypervolume,min_cost_1e8,min_unserved,min_inequity
Scheme family (N=10),4,2.2281192084863857e+19,3.2110011353677685,781.7436069245668,9.75034825029173
Fixed-N GA breeding,330,3.167291501267639e+19,2.5800384410132944,781.7436069245668,9.422209725108312
Free-cardinality NSGA-II,253,1.689310208181361e+20,3.2110011353677685,0.0,5.962386956850856
