fare_multiplier,p_min,p_max,p_ratio_max_min,p_population_weighted,break_even_income_cny
0.3,0.6947,0.77649,1.1177342737872464,0.7220284785458442,-11942.68047337278
0.4,0.57505,0.67482,1.1734979566994175,0.6077436183731789,-3108.8343195266243
0.5,0.44591,0.55379,1.2419322284765986,0.48046313993861595,5725.01183431953
0.6,0.32368,0.42621,1.3167634700939197,0.3557389669560169,14558.857988165684
0.8,0.14474,0.21003,1.4510847036064667,0.16433627505478937,32226.550295857993
1.0,0.05645,0.08655,1.533215234720992,0.06527126196749869,49894.2426035503
1.2,0.02071,0.03253,1.5707387735393532,0.024134730337410926,67561.93491124261
1.5,0.00442,0.00703,1.590497737556561,0.00517516850346426,94063.47337278108
