label,n_sites,n_rooftop,n_ground,total_cost_cny,mean_cost_per_site_cny,demand_covered,demand_coverage_pct,population_covered,population_coverage_pct,mean_access_time_min,median_access_time_min,p95_access_time_min,max_access_time_min,pct_within_10min,pct_within_15min,n_groups,n_groups_unserved,groups_all_served,worst_group_access_time_min,best_group_access_time_min,group_gap_min,worst_group_access_time_served_min,group_gap_served_min,equity_gini,group_0_access_time_min,group_1_access_time_min,group_2_access_time_min,group_3_access_time_min,group_4_access_time_min,income_quintile_gap_min,income_quintile_gini
预算约束型,15,13,2,499476467.59576035,33298431.17305069,50331.223431062346,99.98472065080422,7710900.631330233,99.98233299549955,9.687447547912598,9.842992782592773,13.819662094116211,15.0,54.5002692034364,99.98233299549955,5,0,True,9.78513081691269,8.953028314399807,0.8321025025128819,9.78513081691269,0.8321025025128819,0.017280443199381528,9.78513081691269,9.647253520592544,9.2789353839725,8.953028314399807,9.38359207062509,0.49516963958740234,0.0098338594446653
服务标准约束型,28,14,14,1301289173.7709844,46474613.34896373,49919.479785263626,99.16677762064292,7640727.288441189,99.07243999186873,8.291279792785645,7.947726726531982,13.664620018005367,15.0,88.96103345606883,99.07243999186873,5,0,True,8.294698166335952,6.956154942480482,1.3385432238554698,8.294698166335952,1.3385432238554698,0.03257012253037597,7.328294404143425,7.236750255405782,6.956154942480482,8.294698166335952,7.007060217988281,2.5125656127929688,0.059301695050790144
设施规模约束型,15,5,10,762075291.5535601,50805019.436904006,50338.9148896497,100.0,7712263.157209303,100.0,9.58150577545166,9.788225173950195,13.800000190734863,15.0,54.81625430069175,100.0,5,0,True,9.844005443581592,8.610657878119204,1.2333475654623882,9.844005443581592,1.2333475654623882,0.02819087639573401,9.844005443581592,9.51863151202651,8.610657878119204,9.758451521263902,8.936126092631637,0.8656911849975586,0.016327416246285507
公平约束型,13,12,1,367541519.25660205,28272424.55820016,49684.98163137024,98.7009389063849,7601326.808646757,98.56155908711642,9.960739135742188,10.187196731567383,14.101473283767696,15.0,50.12803206921608,98.56155908711642,5,0,True,10.074884197310107,8.977838156149227,1.0970460411608798,10.074884197310107,1.0970460411608798,0.019324521198626626,9.791081436567953,9.922347936387949,10.074884197310107,9.771521767783076,8.977838156149227,1.5777769088745117,0.02668978089596387
TOPSIS 推荐方案,42,11,31,2101939530.1857522,50046179.290136956,50259.08574717956,99.8414166402968,7699052.685245696,99.8287082313671,8.14824390411377,7.947726726531982,13.25280475616455,15.0,77.94509708104934,99.8287082313671,5,0,True,8.098546714995981,6.946891765851749,1.1516549491442323,8.098546714995981,1.1516549491442323,0.02841400173391885,7.628496781787027,8.098546714995981,6.946891765851749,7.859121912696856,8.067152979145957,1.2174301147460938,0.026925267671073255
