baseline,n_sites,unserved_demand,total_access_time,inequity,total_cost,n_front_dominating,dominated_by_front_pct,demand_coverage_pct,worst_group_access_time_min,equity_gini,n_groups_unserved,groups_all_served,group_gap_min
p_center_p12,11,1584.755396330111,449555.5527057958,9.814331298114816,614874453.4821883,17,4.970760233918129,96.85182845159828,9.814331298114817,0.022134165749019694,0.0,True,0.977966576134019
p_center_p18,11,1584.755396330111,449555.5527057958,9.814331298114816,614874453.4821883,17,4.970760233918129,96.85182845159828,9.814331298114817,0.022134165749019694,0.0,True,0.977966576134019
p_center_p25,11,1584.755396330111,449555.5527057958,9.814331298114816,614874453.4821883,17,4.970760233918129,96.85182845159828,9.814331298114817,0.022134165749019694,0.0,True,0.977966576134019
max_coverage_p8,8,2377.738860952719,504723.30463824095,10.76221793767158,451901109.7330279,7,2.046783625730994,95.27653930132371,10.76221793767158,0.010434814130120623,0.0,True,0.5092267571051412
set_covering,10,1587.602177822664,471654.8314995871,10.304790494119572,501471502.3700038,6,1.7543859649122806,96.84617322144723,10.304790494119574,0.015965938122375324,0.0,True,0.8116494022133995
p_median_p8,8,6265.568062811079,401120.31478041294,11.115841751701952,311912497.35626227,0,0.0,87.55323177596075,11.115841751701952,0.06213605427895891,0.0,True,3.0603368319185282
p_median_p12,12,2132.593933505756,413169.64612690953,10.309466471139148,680089757.1468724,0,0.0,95.76352820043753,10.309466471139148,0.0573243167689084,0.0,True,2.5611169758824426
max_coverage_p12,12,111.7168525195666,500608.6154587901,10.72381727670117,611980817.3089564,0,0.0,99.77807059853303,10.723817276701173,0.03227735512855712,0.0,True,1.5830663850833382
p_median_p18,18,1057.2010677863657,379714.2975672869,8.811177940938336,955895585.40421,0,0.0,97.89983341892867,8.81117794093834,0.04499179248831214,0.0,True,1.8558103249192603
max_coverage_p18,16,0.0,474269.3457479689,9.939396747397932,794063110.302283,0,0.0,100.0,9.93939674739793,0.019510320848655404,0.0,True,0.964587110217666
p_median_p25,25,443.8524611821995,357935.6037845358,8.159182485999937,1328120922.9685802,0,0.0,99.11827169466169,8.159182485999938,0.04029560680192998,0.0,True,1.7549927840718231
max_coverage_p25,24,0.0,472601.8462214348,10.44270762681678,1227145517.2947843,0,0.0,100.0,10.442707626816784,0.04711328137952384,0.0,True,2.0658940676619615
