metric,euclidean,euclidean_sd,network,network_sd,delta_pct
n_candidates,1315.0,0.0,1315.0,0.0,0.0
knee_n_sites,19.333333333333332,4.163331998932266,70.0,13.74772708486752,262.0689655172414
knee_cost_cny,737040462.6579591,154151797.9656025,3492750362.422292,757850342.9361178,373.8885501382826
knee_demand_coverage_pct,98.97308490666084,0.7246441571279877,94.18729623757656,0.2592809094611493,-4.835444579299156
knee_mean_access_min,9.628205299377441,0.20906906078328572,9.503232955932617,0.5692224671569109,-1.2979817064443455
knee_worst_group_min,9.878810419367028,0.3313336426269795,9.560211609336035,0.6779499435963467,-3.2250726201445508
knee_group_gap_min,1.2790132238457321,0.3547622940727797,0.5265872576142284,0.4206506324302343,-58.82863071338013
pareto_cost_min,314333127.3849533,0.0,1470587046.61958,2.9200193199910854e-07,367.84348148536094
pareto_cost_max,19580822257.451847,1392950256.3430426,21215057986.940937,500308395.4951265,8.34610369269427
pareto_unserved_min,0.0,0.0,2414.115144015079,16.75010396001093,
mean_reachable_cand_per_demand,128.58197697499008,0.0,54.47399761810242,0.0,-57.63481095900561
