run,unserved,total_time,inequity,cost
0,738.66479903656,480245.13175570784,9.935282971645,623878256.611856
1,429.6267069833775,464965.01830169157,9.620029227864128,753783168.2996995
2,188.4628169415737,366312.5111356634,8.615646987923062,4592578514.900157
3,186.19748260468623,465300.8334803298,10.32258860865823,905954386.9030888
4,107.4569552932735,359534.4810385017,8.300174588977434,6115806770.792771
5,484.06629339449137,478995.87435458123,9.891545227965647,636619318.8263812
6,1508.24070131826,454575.97382131324,9.414843785217471,529980687.45002556
7,353.56988255940814,466972.82356161845,9.573580046652362,541612312.3741937
8,494.10674301397376,449669.97884725546,9.26281400424208,670834119.4644691
9,1597.1586064221265,454188.76584089355,9.690796459487606,467448916.2522147
