weight_unserved,weight_time,weight_inequity,weight_cost,unserved_demand,total_access_time,inequity,total_cost,n_front_dominating,dominated_pct,n_front_dominating_single,dominated_pct_single,n_evaluations
0.2753964330851303,0.5879996173759916,0.04916091610175073,0.08744303343712745,1675.6116325452094,457904.1576491897,10.220289380580876,384295839.4431474,0,0.0,0,0.0,1320
0.364408670106309,0.1336497012596134,0.16770770666555423,0.33423392196852353,1028.2327043082914,447503.0551642996,9.400067351280756,471900631.0059494,0,0.0,0,0.0,1249
0.4473187734823416,0.2581419133764361,0.004813026809030953,0.2897262863321913,1137.0656139928615,465186.9648555828,9.520767773550492,493249810.4706837,0,0.0,0,0.0,1232
0.0003471751656880658,0.5201285018893096,0.14026086213887226,0.33926346080613,1640.0165484012323,460303.2449115746,9.972326581698484,488230506.3716816,3,0.8771929824561403,0,0.0,1259
0.05757572312445302,0.4158987124291864,0.41291688798377796,0.1136086764625826,1313.820947109074,457620.92522904126,9.583990136364605,507854284.3690633,3,0.8771929824561403,0,0.0,1323
0.0163165477567193,0.2930640971320506,0.21012166829334286,0.4804976868178871,1199.0724163997002,458014.7838849538,9.680709812269177,543280966.2288506,9,2.6315789473684212,0,0.0,1377
0.15692723652732948,0.06560384165826776,0.24289080234498317,0.5345781194694196,1419.4085732963722,455030.7834818841,9.987184577187275,469070447.68046147,3,0.8771929824561403,0,0.0,1350
0.6356908989898028,0.18325810075674367,0.10069029240834684,0.08036070784510674,1323.3972680026563,467544.27932304563,9.951495587763626,477398237.4915942,4,1.1695906432748537,0,0.0,1349
0.029285849405134262,0.15970543185917188,0.08558935787325164,0.7254193608624422,1564.1232304534133,451626.6090947966,9.886713600429834,496654665.3414009,3,0.8771929824561403,0,0.0,1278
0.4485241638585865,0.46214021594299026,0.024070173206268086,0.06526544699215518,1350.3992159928384,476444.16906553035,10.038746024028342,453836947.8568467,5,1.4619883040935673,0,0.0,1238
0.4100359995918761,0.24447409336506923,0.1535711093858037,0.19191879765725103,1609.212598618884,461648.34433004545,10.116925018947033,485040567.142176,3,0.8771929824561403,0,0.0,1337
0.08904117727009302,0.1515342728053462,0.5689388549670651,0.19048569495749562,1034.2451157959513,462340.9209396946,9.893120489016125,502686916.25492626,0,0.0,0,0.0,1252
1.0,0.0,0.0,0.0,0.0,283472.15796698345,5.988581169593654,19963848121.58255,0,0.0,0,0.0,1723
0.0,1.0,0.0,0.0,16.51849612416845,286462.3824626645,6.0560995498695425,17425054146.479286,3,0.8771929824561403,0,0.0,1564
0.0,0.0,1.0,0.0,114.92788583119545,277630.99809278816,5.816515912119537,20405958695.321663,0,0.0,0,0.0,1617
0.0,0.0,0.0,1.0,1188.0821445135007,451121.96080638317,9.39900618546964,479903181.1533481,2,0.5847953216374269,0,0.0,1510
