run,pareto_size,all_fixed_cardinality,min_cost,min_unserved,min_inequity,min_total_time,elapsed_s
0,100,True,261292130.85042018,781.7436069245668,9.441649803203655,425282.0061567873,101.9
1,100,True,269981024.80708146,781.7436069245668,9.432085992359196,420009.14824482275,104.9
2,100,True,266352458.6398446,781.7436069245668,9.50284080470444,421128.26715262956,99.9
3,100,True,285191760.81322193,781.7436069245668,9.422209725108312,429481.95721488097,101.3
4,100,True,258003844.10132945,781.7436069245668,9.490080482044398,420718.678569425,102.8
