run,pareto_size,n_sites_min,n_sites_max,min_unserved,min_cost_1e8,min_inequity,elapsed_s
0,100,12,398,0.0,3.6754151925660206,5.823838539646392,55.6
1,100,12,417,0.0,3.6754151925660206,5.892686614626182,49.4
2,100,13,395,0.0,3.6754151925660206,5.988950659730037,48.0
3,100,12,388,0.0,3.6754151925660206,5.97708345116734,41.2
4,100,13,391,0.0,3.6754151925660206,5.841768086676435,44.3
