run,pareto_size,n_sites_min,n_sites_max,min_cost,min_unserved,min_inequity,min_total_time
0,100,10,371,321100113.53677684,0.0,6.00274215802934,281642.8026306536
1,100,10,396,321100113.53677684,11.650964628330257,6.001782023768288,288519.5358407509
2,100,10,400,321100113.53677684,0.0,6.017637584875993,285329.932235128
3,100,10,410,321100113.53677684,0.0,6.12401545373298,287826.24574799754
4,100,10,373,321100113.53677684,1.4796945227280958,5.962386956850856,283004.0014215577
