unserved_demand,total_access_time,inequity,total_cost,total_cost_cny
5.2873374520931975,302077.9099866586,6.870819382532848,13283495369.42244,13283495369.0
5.2873374520931975,301656.4174204649,6.870819382532848,13454495369.422438,13454495369.0
5.2873374520931975,301656.4174204649,6.870819382532848,13454495369.422438,13454495369.0
7.326442551879154,319918.63637278444,7.4513456944320735,9467040329.74107,9467040330.0
7.326442551879154,319918.63637278444,7.4513456944320735,9467040329.74107,9467040330.0
11.793216960933933,289527.2701105251,6.894255283207983,15301921415.742104,15301921416.0
11.793216960933933,290854.02859146404,6.894255283207983,14637004840.500174,14637004841.0
11.793216960933933,290854.02859146404,6.894255283207983,14637004840.500174,14637004841.0
11.793216960933933,289527.2701105251,6.894255283207983,15301921415.742104,15301921416.0
11.793216960933933,289817.9477874982,6.894255283207983,14751004840.500174,14751004841.0
16.509717472559714,336167.1129671529,7.619188182572996,6889273426.321517,6889273426.0
18.150652304793766,279662.61260904465,6.235612323389501,19165427181.40158,19165427181.0
18.150652304793766,279662.61260904465,6.235612323389501,19165427181.40158,19165427181.0
18.150652304793766,279771.0727234405,6.235612323389501,19051427181.40158,19051427181.0
19.807020329848456,312984.4850775371,7.285015546154509,10200785693.205109,10200785693.0
19.807020329848456,311925.3531753286,7.1249654915634135,10390531604.603764,10390531605.0
19.807020329848456,311925.3531753286,7.1249654915634135,10390531604.603764,10390531605.0
21.390126883939956,275600.36913800135,6.253654152196995,18829151757.576355,18829151758.0
21.390126883939956,275604.88710613747,6.253654152196995,18772151757.576355,18772151758.0
21.390126883939956,275600.36913800135,6.253654152196995,18829151757.576355,18829151758.0
23.017596989338927,326903.7645804327,7.249937896521067,8739152588.523186,8739152589.0
23.017596989338927,326620.9375363765,7.249937896521067,8796152588.523186,8796152589.0
23.017596989338927,326620.9375363765,7.249937896521067,8796152588.523186,8796152589.0
32.67455831811094,344533.6335033386,7.286706308691167,5137115982.869224,5137115983.0
32.67455831811094,344938.93098507053,7.291554016590309,5023115982.869224,5023115983.0
36.302010188635904,307230.7588713231,6.669019939535891,12476897260.684618,12476897261.0
37.4708082357829,317133.25404650776,6.999734457744961,12248897260.684616,12248897261.0
37.4708082357829,317133.25404650776,6.999734457744961,12248897260.684616,12248897261.0
48.4813020807851,340223.4377279495,7.423672369571061,7170100745.910723,7170100746.0
48.4813020807851,340223.4377279495,7.423672369571061,7170100745.910723,7170100746.0
50.38147102782386,384749.96728900314,8.42984950906024,2601010687.094812,2601010687.0
57.85965303014382,284938.14619048365,6.571330764706526,16945304330.342232,16945304330.0
57.85965303014382,284938.14619048365,6.571330764706526,16945304330.342232,16945304330.0
57.85965303014382,286559.08353858965,6.571330764706526,16632451917.016409,16632451917.0
74.5578235405701,400922.33847744414,8.604661614851267,1477923388.4000952,1477923388.0
74.5578235405701,400418.9601979021,8.604661614851267,1534923388.4000952,1534923388.0
79.99930582274828,318683.8058144719,6.850479280943122,6682480789.807931,6682480790.0
82.87139753341762,302799.2392447268,6.659135836077587,11499714724.98188,11499714725.0
82.87139753341762,303016.720810701,6.678618245848329,11471819543.785526,11471819544.0
82.87139753341762,303016.720810701,6.678618245848329,11471819543.785526,11471819544.0
89.95240561256651,316031.17032520444,6.942676208131744,8028092054.140698,8028092054.0
89.95240561256651,316155.4194102923,6.96249552912818,7971092054.140698,7971092054.0
103.21176436609676,349240.3404491843,7.692078838028353,4944676704.185883,4944676704.0
103.21176436609676,349240.3404491843,7.692078838028353,4944676704.185883,4944676704.0
103.21176436609676,346848.72147908644,7.531429878023053,5001676704.185883,5001676704.0
122.59704126473662,422411.95006443537,9.66162658668296,1398260972.8493643,1398260973.0
129.52837215579348,359745.9350112141,7.787228184428329,4192516755.1626654,4192516755.0
129.52837215579348,370867.82773910544,8.04750382787839,3692629608.9967995,3692629609.0
129.52837215579348,364834.9311212209,7.920603701928241,3920970048.3898644,3920970048.0
129.52837215579348,360459.6252853832,7.799199350402029,4021516755.1626654,4021516755.0
135.75225920670346,331873.189901074,7.191054602814023,5928998458.885261,5928998459.0
135.75225920670346,331873.189901074,7.191054602814023,5928998458.885261,5928998459.0
148.83904572080064,380794.60076835664,8.175448152555346,2265634402.4112844,2265634402.0
148.83904572080064,381759.3673940553,8.18935287949062,2208634402.411285,2208634402.0
158.4766554222806,389713.5316061108,8.4245646747185,1980634402.4112844,1980634402.0
168.39737131102447,378836.4128519905,8.117439546209544,2222267989.262485,2222267989.0
169.650471641864,417802.43206713424,9.073456491173568,1049867237.9158909,1049867238.0
169.650471641864,417802.43206713424,9.073456491173568,1049867237.9158909,1049867238.0
180.673954919861,353982.5547681007,7.845423871247235,3495942352.162836,3495942352.0
180.673954919861,354254.8439598109,7.8634838986924125,3438942352.1628356,3438942352.0
180.673954919861,354254.8439598109,7.8634838986924125,3438942352.1628356,3438942352.0
185.86747840465978,409779.1091381292,8.745047546723505,1138380349.6157358,1138380350.0
190.2189575553275,395270.2050896471,9.785272909901838,1736551259.6654153,1736551260.0
190.2189575553275,398402.257624932,9.785272909901838,1679551259.6654153,1679551260.0
202.97889339095127,416734.1907110286,8.816181052616745,979892215.4816142,979892215.0
212.58318236908963,411811.7631204376,8.8312843535864,1081380349.615736,1081380350.0
212.99716782975156,410128.7798529923,8.859772196437717,1049578377.6767559,1049578378.0
228.02296532323817,434987.8014242186,9.426785904970874,937112152.0343041,937112152.0
264.2634121522715,438592.82908984926,9.337807951483033,818368829.518615,818368830.0
317.94381068317307,443777.93761604215,9.453881364165301,757562750.9171671,757562751.0
317.94381068317307,443777.93761604215,9.453881364165301,757562750.9171671,757562751.0
349.67710924537823,443200.1135057572,10.964500507271925,704917109.6266167,704917110.0
349.67710924537823,443200.1135057572,10.964500507271925,704917109.6266167,704917110.0
351.9126316557813,387627.3085971704,8.375576785189194,1909139088.6455739,1909139089.0
394.1217635346766,453464.851561207,9.575533045638549,643123906.3302618,643123906.0
429.4879366046516,447448.55681834,9.503007212439305,724782646.4666324,724782646.0
446.4590214807904,432172.2012575618,10.626856704499083,739371507.7657323,739371508.0
450.4221192568875,430465.9378009423,9.124783091714843,778910384.3806493,778910384.0
534.731201356648,434235.0604364559,9.326463460053361,715307076.2903721,715307076.0
575.7810845032654,461650.1978779988,10.268809151787377,589840154.6672856,589840155.0
575.7810845032654,461650.1978779988,10.268809151787377,589840154.6672856,589840155.0
601.7483952918192,437700.8460165899,9.207585005679562,594441887.3033495,594441887.0
625.0990484458525,442595.63501337694,9.552134237451762,520383710.09722954,520383710.0
647.2227732727406,424659.2219175601,9.20083010050426,753123558.1854725,753123558.0
705.7787468924289,431777.45527514035,10.674788524580269,742285198.8830538,742285199.0
705.7787468924289,431777.45527514035,10.674788524580269,742285198.8830538,742285199.0
767.8615907370113,427852.8252996446,9.31781683067648,730393380.9546695,730393381.0
795.9822600425832,431955.4173914031,9.445102615047913,650510669.3156947,650510669.0
857.1216161676057,442090.64301760535,9.684203962326588,553863867.8582735,553863868.0
857.1216161676057,442090.64301760535,9.684203962326588,553863867.8582735,553863868.0
1059.1535488901209,451387.06396862434,9.845905092774991,508381267.8487185,508381268.0
1059.1535488901209,451387.06396862434,9.845905092774991,508381267.8487185,508381268.0
1086.6116907184696,442389.5832405363,9.614483174220526,548924469.3930845,548924469.0
1186.377083099098,427321.4815503781,9.209356498398504,599473110.7063318,599473111.0
1204.6920597482895,426685.27584469016,9.221527212791155,624509540.6117452,624509541.0
1288.615006875414,441463.11281164817,10.166838344155163,573100981.9716518,573100982.0
1288.615006875414,441463.11281164817,10.166838344155163,573100981.9716518,573100982.0
1319.7639114157864,440642.4832418895,10.303281523904788,574196172.3539695,574196172.0
1402.977035984004,450715.36615236965,9.747988487513311,348011221.5812531,348011222.0
1402.977035984004,450715.36615236965,9.747988487513311,348011221.5812531,348011222.0
