name,status,n_sites,objective,total_cost_cny,solve_time_s,coverage_cells_covered,coverage_cells_total,coverage_cell_coverage_pct,coverage_demand_covered,coverage_demand_total,coverage_demand_coverage_pct,coverage_population_covered,coverage_population_total,coverage_population_coverage_pct,coverage_core_coverage_pct,coverage_n_core_cells,coverage_feasible
cost_priority,Optimal,11,348011221.58,348011222.0,0.4,2120,2519,84.1604,47316.6971,48719.6741,97.1203,7466766.3551,7712263.1572,96.8168,100.0,1008,True
coverage_priority,Optimal,10,10.0,513929069.0,0.4,2069,2519,82.1358,47031.2141,48719.6741,96.5343,7417584.6967,7712263.1572,96.1791,100.0,1008,True
