cluster,n_cells,population,income_mean,poi_density_mean,trip_rate,monthly_income_cny,vot_cny_per_h,p_evtol,demand_trips_per_day,k_selection
3,1391,2642033.5168341342,0.0,0.0,0.005642,1868.0,5.37,0.05642,14906.353101978186,silhouette
0,327,940327.0619954877,1.533906402880068,5.321100917431193,0.005974,2799.0,8.04,0.05974,5617.513868361043,silhouette
5,321,1318766.7368114311,2.598605268921616,13.059190031152648,0.006283,3613.0,10.38,0.06283,8285.811407386222,silhouette
2,260,1389814.0930910609,3.361789080140872,29.49230769230769,0.006638,4500.0,12.93,0.06638,9225.585949938462,silhouette
4,145,908115.2678033989,4.000721252605107,55.172413793103445,0.007112,5605.0,16.11,0.07112,6458.5157846177735,silhouette
6,62,421404.3100385666,4.560623476605083,96.0,0.007876,7236.0,20.79,0.07876,3318.9803458637502,silhouette
1,13,91802.17063522339,5.021334151621387,170.46153846153845,0.009879,10840.0,31.15,0.09879,906.9136437053719,silhouette
