cand_id,facility_type,x,y,height_m,roof_usable_m2,parcel_area_m2,height_source,osm_id,building_type,n_fato,capacity,cost,quality,cell_id
44,ground,412227.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1447.0
45,ground,404227.3738420745,3399481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,378.0
46,ground,404227.3738420745,3398981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,377.0
47,ground,404227.3738420745,3398481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,376.0
48,ground,404227.3738420745,3397981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,375.0
49,ground,404227.3738420745,3397481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,374.0
50,ground,404227.3738420745,3395981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,371.0
51,ground,404727.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,391.0
52,ground,404727.3738420745,3401481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,439.0
53,ground,404727.3738420745,3400981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,438.0
54,ground,412227.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1442.0
55,ground,404727.3738420745,3399981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,436.0
56,ground,404727.3738420745,3399481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,435.0
57,ground,404727.3738420745,3398981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,434.0
58,ground,404727.3738420745,3397981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,432.0
59,ground,404727.3738420745,3395981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,428.0
60,ground,404727.3738420745,3391481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,419.0
61,ground,404727.3738420745,3380481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,397.0
62,ground,404727.3738420745,3379981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,396.0
63,ground,404727.3738420745,3379481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,395.0
64,ground,404727.3738420745,3378981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,394.0
65,ground,412227.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1443.0
66,ground,405727.3738420745,3397981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,557.0
67,ground,405727.3738420745,3398481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,558.0
68,ground,411727.3738420745,3391981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1403.0
69,ground,406727.3738420745,3380481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,659.0
70,ground,406727.3738420745,3378981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,656.0
71,ground,406727.3738420745,3378481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,655.0
72,ground,406727.3738420745,3377981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,654.0
73,ground,406727.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,653.0
74,ground,406727.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,652.0
75,ground,406727.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,648.0
76,ground,406727.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,647.0
77,ground,406727.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,646.0
78,ground,406727.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,645.0
79,ground,405727.3738420745,3399481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,560.0
80,ground,406727.3738420745,3400981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,700.0
81,ground,407227.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,719.0
82,ground,407227.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,716.0
83,ground,407227.3738420745,3372981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,715.0
84,ground,407227.3738420745,3372481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,714.0
85,ground,407227.3738420745,3370981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,711.0
86,ground,407227.3738420745,3370481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,710.0
87,ground,407227.3738420745,3369981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,709.0
88,ground,407227.3738420745,3369481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,708.0
89,ground,407227.3738420745,3368981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,707.0
90,ground,407227.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,706.0
91,ground,407227.3738420745,3367981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,705.0
92,ground,406727.3738420745,3402981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,704.0
93,ground,406727.3738420745,3402481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,703.0
94,ground,406727.3738420745,3401981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,702.0
95,ground,406727.3738420745,3401481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,701.0
96,ground,406727.3738420745,3372981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,644.0
97,ground,406727.3738420745,3372481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,643.0
98,ground,406727.3738420745,3371981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,642.0
99,ground,406727.3738420745,3371481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,641.0
100,ground,406227.3738420745,3377981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,584.0
101,ground,412227.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1430.0
102,ground,406227.3738420745,3376481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,581.0
103,ground,406227.3738420745,3375981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,580.0
104,ground,406227.3738420745,3375481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,579.0
105,ground,406227.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,578.0
106,ground,406227.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,577.0
107,ground,406227.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,576.0
108,ground,406227.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,575.0
109,ground,406227.3738420745,3372981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,574.0
110,ground,406227.3738420745,3371981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,572.0
111,ground,406227.3738420745,3371481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,571.0
112,ground,406227.3738420745,3370981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,570.0
113,ground,406227.3738420745,3370481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,569.0
114,ground,412227.3738420745,3368981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1431.0
115,ground,405727.3738420745,3400981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,563.0
116,ground,405727.3738420745,3399981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,561.0
117,ground,406227.3738420745,3378481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,585.0
118,ground,406227.3738420745,3402481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,633.0
119,ground,406727.3738420745,3370981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,640.0
120,ground,406727.3738420745,3370481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,639.0
121,ground,406727.3738420745,3369981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,638.0
122,ground,406727.3738420745,3369481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,637.0
123,ground,406727.3738420745,3368981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,636.0
124,ground,406727.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,635.0
125,ground,406227.3738420745,3402981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,634.0
126,ground,406227.3738420745,3401981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,632.0
127,ground,406227.3738420745,3398981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,626.0
128,ground,406227.3738420745,3397981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,624.0
129,ground,406227.3738420745,3397481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,623.0
130,ground,404227.3738420745,3392481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,364.0
131,ground,413227.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1592.0
132,ground,412727.3738420745,3367481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1501.0
133,ground,412727.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1503.0
134,ground,412727.3738420745,3368981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1504.0
135,ground,412727.3738420745,3369481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1505.0
